This is first line
2019-03-16 12:31:43 startup archives unpack
2019-03-16 12:31:44 upgrade libpam0g:amd64 1.1.8-3.6ubuntu2 1.1.8-3.6ubuntu2.18.04.1
2019-03-16 12:31:44 status triggers-pending libc-bin:amd64 2.27-3ubuntu1
2019-03-16 12:31:44 status half-configured libpam0g:amd64 1.1.8-3.6ubuntu2
2019-03-16 12:31:44 status unpacked libpam0g:amd64 1.1.8-3.6ubuntu2
2019-03-16 12:31:44 status half-installed libpam0g:amd64 1.1.8-3.6ubuntu2
2019-03-16 12:31:44 status half-installed libpam0g:amd64 1.1.8-3.6ubuntu2
2019-03-16 12:31:44 status unpacked libpam0g:amd64 1.1.8-3.6ubuntu2.18.04.1
2019-03-16 12:31:44 status unpacked libpam0g:amd64 1.1.8-3.6ubuntu2.18.04.1
2019-03-16 12:31:45 startup packages configure
2019-03-16 12:31:45 configure libpam0g:amd64 1.1.8-3.6ubuntu2.18.04.1 <none>
2019-03-16 12:31:45 status unpacked libpam0g:amd64 1.1.8-3.6ubuntu2.18.04.1
2019-03-16 12:31:45 status half-configured libpam0g:amd64 1.1.8-3.6ubuntu2.18.04.1
2019-03-16 12:31:45 status installed libpam0g:amd64 1.1.8-3.6ubuntu2.18.04.1
2019-03-16 12:31:45 startup archives unpack
2019-03-16 12:31:45 upgrade libpam-modules-bin:amd64 1.1.8-3.6ubuntu2 1.1.8-3.6ubuntu2.18.04.1
2019-03-16 12:31:45 status half-configured libpam-modules-bin:amd64 1.1.8-3.6ubuntu2
2019-03-16 12:31:45 status unpacked libpam-modules-bin:amd64 1.1.8-3.6ubuntu2
2019-03-16 12:31:46 status half-installed libpam-modules-bin:amd64 1.1.8-3.6ubuntu2
2019-03-16 12:31:46 status triggers-pending man-db:amd64 2.8.3-2ubuntu0.1
2019-03-16 12:31:46 status half-installed libpam-modules-bin:amd64 1.1.8-3.6ubuntu2
2019-03-16 12:31:46 status unpacked libpam-modules-bin:amd64 1.1.8-3.6ubuntu2.18.04.1
2019-03-16 12:31:46 status unpacked libpam-modules-bin:amd64 1.1.8-3.6ubuntu2.18.04.1
2019-03-16 12:31:46 startup packages configure
2019-03-16 12:31:46 configure libpam-modules-bin:amd64 1.1.8-3.6ubuntu2.18.04.1 <none>
2019-03-16 12:31:46 status unpacked libpam-modules-bin:amd64 1.1.8-3.6ubuntu2.18.04.1
2019-03-16 12:31:46 status half-configured libpam-modules-bin:amd64 1.1.8-3.6ubuntu2.18.04.1
2019-03-16 12:31:46 status installed libpam-modules-bin:amd64 1.1.8-3.6ubuntu2.18.04.1
2019-03-16 12:31:47 startup archives unpack
2019-03-16 12:31:47 upgrade libpam-modules:amd64 1.1.8-3.6ubuntu2 1.1.8-3.6ubuntu2.18.04.1
2019-03-16 12:31:47 status half-configured libpam-modules:amd64 1.1.8-3.6ubuntu2
2019-03-16 12:31:47 status unpacked libpam-modules:amd64 1.1.8-3.6ubuntu2
2019-03-16 12:31:47 status half-installed libpam-modules:amd64 1.1.8-3.6ubuntu2
2019-03-16 12:31:48 status half-installed libpam-modules:amd64 1.1.8-3.6ubuntu2
2019-03-16 12:31:48 status unpacked libpam-modules:amd64 1.1.8-3.6ubuntu2.18.04.1
2019-03-16 12:31:48 status unpacked libpam-modules:amd64 1.1.8-3.6ubuntu2.18.04.1
2019-03-16 12:31:48 startup packages configure
2019-03-16 12:31:48 configure libpam-modules:amd64 1.1.8-3.6ubuntu2.18.04.1 <none>
2019-03-16 12:31:48 status unpacked libpam-modules:amd64 1.1.8-3.6ubuntu2.18.04.1
2019-03-16 12:31:48 status unpacked libpam-modules:amd64 1.1.8-3.6ubuntu2.18.04.1
2019-03-16 12:31:48 status unpacked libpam-modules:amd64 1.1.8-3.6ubuntu2.18.04.1
2019-03-16 12:31:48 status unpacked libpam-modules:amd64 1.1.8-3.6ubuntu2.18.04.1
2019-03-16 12:31:48 status unpacked libpam-modules:amd64 1.1.8-3.6ubuntu2.18.04.1
2019-03-16 12:31:49 status unpacked libpam-modules:amd64 1.1.8-3.6ubuntu2.18.04.1
2019-03-16 12:31:49 status unpacked libpam-modules:amd64 1.1.8-3.6ubuntu2.18.04.1
2019-03-16 12:31:49 status unpacked libpam-modules:amd64 1.1.8-3.6ubuntu2.18.04.1
2019-03-16 12:31:49 status unpacked libpam-modules:amd64 1.1.8-3.6ubuntu2.18.04.1
2019-03-16 12:31:49 status half-configured libpam-modules:amd64 1.1.8-3.6ubuntu2.18.04.1
2019-03-16 12:31:49 status installed libpam-modules:amd64 1.1.8-3.6ubuntu2.18.04.1
2019-03-16 12:31:49 startup archives unpack
2019-03-16 12:31:49 upgrade libnss-systemd:amd64 237-3ubuntu10.13 237-3ubuntu10.15
2019-03-16 12:31:49 status half-configured libnss-systemd:amd64 237-3ubuntu10.13
2019-03-16 12:31:50 status unpacked libnss-systemd:amd64 237-3ubuntu10.13
2019-03-16 12:31:50 status half-installed libnss-systemd:amd64 237-3ubuntu10.13
2019-03-16 12:31:50 status half-installed libnss-systemd:amd64 237-3ubuntu10.13
2019-03-16 12:31:50 status unpacked libnss-systemd:amd64 237-3ubuntu10.15
2019-03-16 12:31:50 status unpacked libnss-systemd:amd64 237-3ubuntu10.15
2019-03-16 12:31:50 upgrade libsystemd0:amd64 237-3ubuntu10.13 237-3ubuntu10.15
2019-03-16 12:31:50 status half-configured libsystemd0:amd64 237-3ubuntu10.13
2019-03-16 12:31:50 status unpacked libsystemd0:amd64 237-3ubuntu10.13
2019-03-16 12:31:50 status half-installed libsystemd0:amd64 237-3ubuntu10.13
2019-03-16 12:31:51 status half-installed libsystemd0:amd64 237-3ubuntu10.13
2019-03-16 12:31:51 status unpacked libsystemd0:amd64 237-3ubuntu10.15
2019-03-16 12:31:51 status unpacked libsystemd0:amd64 237-3ubuntu10.15
2019-03-16 12:31:51 startup packages configure
2019-03-16 12:31:51 configure libsystemd0:amd64 237-3ubuntu10.15 <none>
2019-03-16 12:31:51 status unpacked libsystemd0:amd64 237-3ubuntu10.15
2019-03-16 12:31:51 status half-configured libsystemd0:amd64 237-3ubuntu10.15
2019-03-16 12:31:51 status installed libsystemd0:amd64 237-3ubuntu10.15
2019-03-16 12:31:51 startup archives unpack
2019-03-16 12:31:52 upgrade libpam-systemd:amd64 237-3ubuntu10.13 237-3ubuntu10.15
2019-03-16 12:31:52 status half-configured libpam-systemd:amd64 237-3ubuntu10.13
2019-03-16 12:31:52 status unpacked libpam-systemd:amd64 237-3ubuntu10.13
2019-03-16 12:31:52 status half-installed libpam-systemd:amd64 237-3ubuntu10.13
2019-03-16 12:31:52 status half-installed libpam-systemd:amd64 237-3ubuntu10.13
2019-03-16 12:31:52 status unpacked libpam-systemd:amd64 237-3ubuntu10.15
2019-03-16 12:31:52 status unpacked libpam-systemd:amd64 237-3ubuntu10.15
